frame,t_s,found,knob_x,knob_y,knob_w,knob_h,area_full,fill
560,9.3167,1,1096.5,1488.2,150,149,19530,0.74
561,9.3333,1,1096.9,1487.8,150,150,19437,0.74
562,9.3500,1,1097.0,1487.7,150,150,19452,0.74
563,9.3667,1,1096.8,1486.8,150,149,19504,0.76
564,9.3833,1,1097.1,1486.8,151,148,19541,0.76
565,9.4000,1,1096.9,1486.9,151,149,19435,0.76
566,9.4167,1,1097.1,1486.8,150,149,19452,0.76
567,9.4333,1,1097.5,1486.7,150,149,19382,0.76
568,9.4500,1,1097.4,1486.4,151,150,19497,0.76
569,9.4667,1,1096.7,1485.6,151,149,19489,0.75
570,9.4833,1,1096.9,1485.4,149,149,19388,0.77
571,9.5000,1,1097.2,1485.4,149,149,19459,0.76
572,9.5167,1,1097.9,1485.6,150,149,19420,0.78
573,9.5333,1,1098.6,1486.0,151,149,19206,0.77
574,9.5500,1,1099.1,1484.8,149,150,19213,0.73
575,9.5667,1,1100.8,1483.4,151,150,19176,0.73
576,9.5833,1,1102.4,1482.5,150,149,19204,0.75
577,9.6000,1,1103.6,1480.9,151,150,19448,0.76
578,9.6167,1,1104.4,1479.7,150,149,19499,0.73
579,9.6333,1,1105.0,1477.7,151,149,19446,0.75
580,9.6500,1,1106.1,1476.4,152,148,19611,0.78
581,9.6667,1,1106.1,1475.1,151,149,19650,0.74
582,9.6833,1,1106.4,1473.3,151,148,19729,0.79
583,9.7000,1,1106.1,1472.0,150,148,19640,0.76
584,9.7167,1,1106.1,1471.4,151,149,19338,0.75
585,9.7333,1,1106.5,1470.0,150,150,19486,0.76
586,9.7500,1,1106.1,1468.4,150,149,19463,0.75
587,9.7667,1,1105.9,1466.7,150,149,19522,0.73
588,9.7833,1,1105.8,1464.3,152,148,19618,0.78
589,9.8000,1,1106.3,1463.0,150,148,19613,0.76
590,9.8167,1,1105.7,1461.3,150,148,19531,0.76
591,9.8333,1,1105.7,1460.1,150,149,19590,0.76
592,9.8500,1,1106.3,1458.8,149,149,19570,0.76
593,9.8667,1,1106.4,1458.3,149,150,19686,0.76
594,9.8833,1,1106.6,1457.6,150,149,19613,0.78
595,9.9000,1,1106.3,1456.3,150,149,19578,0.76
596,9.9167,1,1106.6,1455.9,148,149,19431,0.77
597,9.9333,1,1106.9,1455.2,149,149,19450,0.75
598,9.9500,1,1106.6,1455.4,149,150,19268,0.74
599,9.9667,1,1106.6,1454.4,148,149,19329,0.75
600,9.9833,1,1106.8,1454.1,149,150,19374,0.75
601,10.0000,1,1107.1,1453.7,148,150,19442,0.75
602,10.0167,1,1107.1,1453.4,149,149,19426,0.79
603,10.0333,1,1107.4,1453.2,149,150,19536,0.77
604,10.0500,1,1107.3,1452.3,148,148,19537,0.77
605,10.0667,1,1107.3,1452.4,149,149,19492,0.77
606,10.0833,1,1107.5,1452.2,148,150,19519,0.76
607,10.1000,1,1107.1,1451.5,149,150,19420,0.75
608,10.1167,1,1107.6,1451.3,148,150,19387,0.75
609,10.1333,1,1107.5,1451.1,149,150,19451,0.75
610,10.1500,1,1108.6,1451.0,148,150,19299,0.73
611,10.1667,1,1108.7,1450.9,149,150,19373,0.75
612,10.1833,1,1108.9,1450.8,148,150,19272,0.75
613,10.2000,1,1108.9,1450.6,148,149,19289,0.75
614,10.2167,1,1108.8,1450.7,148,149,19318,0.75
615,10.2333,1,1109.7,1451.1,148,149,19225,0.74
616,10.2500,1,1110.0,1451.1,149,149,19265,0.75
617,10.2667,1,1110.1,1451.1,149,149,19302,0.75
618,10.2833,1,1110.0,1450.2,149,150,19416,0.75
619,10.3000,1,1109.7,1449.9,150,149,19446,0.75
620,10.3167,1,1109.2,1449.6,149,149,19314,0.75
621,10.3333,1,1109.3,1448.8,148,148,19266,0.76
622,10.3500,1,1109.7,1448.3,150,148,19327,0.77
623,10.3667,1,1110.4,1447.6,148,147,19192,0.74
624,10.3833,1,1110.5,1447.3,148,148,19064,0.74
625,10.4000,1,1110.3,1447.3,148,148,19133,0.74
626,10.4167,1,1109.4,1446.1,147,146,18618,0.74
627,10.4333,1,1109.6,1445.6,148,146,18734,0.75
628,10.4500,1,1110.1,1445.4,147,147,18668,0.74
