frame,t_s,dxA,dyA,peakA,dxB,dyB,peakB
736,12.2500,-7.53,0.03,106.4,-0.02,0.02,104.5
737,12.2667,-8.38,0.08,99.0,0.01,0.01,85.8
738,12.2833,-8.92,-0.03,89.2,0.01,-0.01,100.3
739,12.3000,-0.03,0.01,142.3,-0.01,0.02,97.0
740,12.3167,-11.29,-0.01,104.9,0.03,-0.01,86.6
741,12.3333,-0.03,-0.02,94.5,-0.02,-0.00,81.0
742,12.3500,-0.00,-0.03,104.1,0.00,0.01,91.3
743,12.3667,0.01,-0.04,85.2,0.03,-0.02,80.6
744,12.3833,-0.01,0.02,119.0,0.02,-0.03,66.3
745,12.4000,-13.21,-0.11,85.1,-0.01,-0.01,106.5
746,12.4167,-12.00,-0.04,106.6,-11.96,0.03,33.6
747,12.4333,-11.90,-0.06,103.4,0.00,0.01,105.6
748,12.4500,-12.98,-0.07,69.7,0.01,0.01,102.4
749,12.4667,-13.19,-0.25,82.4,-0.02,-0.01,108.6
750,12.4833,-12.12,-0.07,89.9,-0.02,0.00,112.4
751,12.5000,-10.44,0.01,99.6,0.00,-0.00,121.0
752,12.5167,-12.01,-0.01,88.8,0.01,-0.01,124.2
753,12.5333,-13.75,0.27,72.6,0.02,-0.00,133.3
754,12.5500,-14.01,1.21,63.0,0.02,-0.01,151.3
755,12.5667,-13.82,1.78,72.5,0.00,-0.00,157.3
756,12.5833,0.00,0.02,116.8,0.01,-0.00,163.4
757,12.6000,-12.59,2.16,49.6,0.00,0.01,182.5
758,12.6167,0.01,-0.02,124.4,0.00,0.00,190.0
759,12.6333,-0.02,0.01,99.5,-0.00,-0.01,198.1
760,12.6500,-12.17,3.97,97.6,-47.99,112.08,9.4
761,12.6667,-12.08,4.16,131.1,0.00,0.00,182.8
762,12.6833,-11.82,4.23,105.7,-0.01,-0.00,179.0
763,12.7000,-11.87,4.34,110.4,0.02,0.01,141.4
764,12.7167,-11.63,4.52,96.2,0.01,0.02,107.8
765,12.7333,-11.50,4.92,80.4,-0.01,0.01,183.2
766,12.7500,-11.45,5.32,95.3,0.01,-0.01,188.3
767,12.7667,-11.39,5.50,97.1,0.03,0.01,144.3
