frame,t,ground_dx_at_hole,ground_dy_at_hole,n_inliers,local_scale,sim_scale,zoom_resid_ln,cum_zoom_from_f785
493,8.2703,-3.699,9.758,214,1.00569,1.00476,0.00167,1.0
494,8.2871,-5.301,10.395,196,1.00554,1.00504,0.00115,1.0
495,8.3039,-4.264,9.421,238,1.00465,1.00486,0.00079,1.0
496,8.3207,-6.124,10.504,200,1.00452,1.00451,6e-05,1.0
497,8.3375,-6.764,9.951,210,1.00491,1.0047,0.0007,1.0
498,8.3543,-7.084,10.636,279,1.00362,1.004,-0.00094,1.0
499,8.3712,-7.206,10.636,206,1.0043,1.00442,-0.00027,1.0
500,8.388,-7.189,9.273,212,1.00454,1.00452,0.00067,1.0
501,8.4048,-7.889,10.049,215,1.00434,1.00461,5e-05,1.0
502,8.4216,-7.888,9.695,232,1.00417,1.00448,7e-05,1.0
503,8.4384,-8.25,10.023,232,1.00427,1.00473,-1e-05,1.0
504,8.4552,-8.505,9.9,262,1.00427,1.0054,5e-05,1.0
505,8.472,-7.98,9.367,189,1.0044,1.00487,0.00047,1.0
506,8.4888,-8.531,10.079,165,1.00431,1.00506,-0.0,1.0
507,8.5056,-8.784,9.792,182,1.00418,1.00537,1e-05,1.0
508,8.5224,-8.499,9.426,164,1.00422,1.0053,0.00024,1.0
509,8.5393,-8.801,9.622,173,1.00415,1.00498,6e-05,1.0
510,8.5561,-8.708,9.472,172,1.00404,1.00549,3e-05,1.0
511,8.5729,-9.079,9.819,134,1.00407,1.00548,-0.00012,1.0
512,8.5897,-8.782,8.241,120,1.00491,1.00554,0.00153,1.0
513,8.6065,-9.758,10.318,131,1.00197,1.00605,-0.0025,1.0
514,8.6233,-9.596,10.409,226,1.00193,1.00489,-0.00258,1.0
515,8.6401,-9.802,9.947,202,1.00355,1.00534,-0.00073,1.0
516,8.6569,-10.074,9.482,200,1.00416,1.00587,0.00011,1.0
517,8.6737,-11.337,10.685,200,1.00444,1.00522,-0.00026,1.0
518,8.6905,-9.482,8.624,168,1.00278,1.00544,-0.0008,1.0
519,8.7073,-10.193,8.835,206,1.00355,1.0054,-0.00016,1.0
520,8.7242,-11.039,9.528,148,1.00316,1.00533,-0.00094,1.0
521,8.741,-10.824,8.488,144,1.00369,1.00528,0.00014,1.0
522,8.7578,-10.265,8.062,166,1.00231,1.0051,-0.001,1.0
523,8.7746,-11.183,8.419,160,1.0026,1.00531,-0.00092,1.0
524,8.7914,-11.283,8.09,170,1.00275,1.00538,-0.0006,1.0
525,8.8082,-11.549,8.038,162,1.00318,1.00516,-0.00016,1.0
526,8.825,-11.202,7.404,149,1.00285,1.00516,-0.00015,1.0
527,8.8418,-12.521,8.621,182,1.00327,1.00528,-0.0004,1.0
528,8.8586,-11.395,7.733,198,1.00377,1.00477,0.00059,1.0
529,8.8754,-11.788,7.557,210,1.00408,1.00508,0.00099,1.0
530,8.8923,-11.226,7.39,186,1.00185,1.00494,-0.00114,1.0
531,8.9091,-11.852,7.737,171,1.00284,1.0051,-0.00034,1.0
532,8.9259,-12.103,8.147,155,1.00228,1.00514,-0.00113,1.0
533,8.9427,-12.021,7.326,182,1.00352,1.00499,0.00054,1.0
534,8.9595,-11.698,7.266,168,1.0035,1.00504,0.00056,1.0
535,8.9763,-12.455,7.205,127,1.00505,1.00449,0.00212,1.0
536,8.9931,-11.814,7.074,128,1.0052,1.00483,0.00235,1.0
