frame,t_s,dxA,dyA,peakA,texA,dxC,dyC,peakC,texC,dxD,dyD,peakD,texD
494,8.2167,0.02,0.03,22.9,12.82,-8.01,11.00,25.4,8.71,-6.46,14.09,115.1,7.46
495,8.2333,-0.13,-0.02,36.2,12.53,-7.99,11.04,44.8,8.57,-7.71,14.06,130.3,7.52
496,8.2500,-4.46,7.86,60.3,12.39,-9.60,9.95,40.2,8.71,-7.74,14.00,117.7,7.57
497,8.2667,-6.07,9.61,78.3,12.28,-9.50,10.09,49.9,8.71,-8.10,13.99,139.9,7.60
498,8.2833,-6.11,9.53,169.3,12.24,-9.57,9.98,41.7,8.69,-8.26,13.86,99.2,7.62
499,8.3000,-6.01,8.23,122.8,12.19,-0.04,-0.01,49.7,8.95,-8.90,13.92,80.0,7.68
500,8.3167,-6.08,8.28,103.9,12.53,-9.87,9.97,60.0,8.94,-9.58,13.89,82.1,7.74
501,8.3333,-6.21,8.12,129.3,12.72,-0.00,0.00,70.7,9.22,-9.67,13.59,66.4,7.85
502,8.3500,-6.39,8.25,114.6,11.94,-7.91,8.10,66.3,9.08,-9.73,13.55,57.3,7.91
503,8.3667,-6.39,8.00,124.8,11.66,0.02,0.04,71.1,8.40,-9.92,13.86,59.0,7.86
504,8.3833,-6.71,7.96,90.1,11.47,-10.11,9.69,53.1,7.95,4.68,0.40,44.8,7.80
505,8.4000,0.00,0.07,113.5,11.18,-8.34,8.09,71.7,8.20,4.79,0.07,73.2,7.75
506,8.4167,-0.04,0.09,110.8,10.94,-8.49,8.02,68.9,8.22,4.35,0.02,88.2,7.74
507,8.4333,-0.01,0.07,108.8,10.70,-10.12,9.51,66.7,8.21,0.02,3.96,119.6,7.66
508,8.4500,0.02,0.08,117.4,10.46,-0.08,0.16,51.9,8.39,0.01,4.00,78.7,7.54
509,8.4667,0.01,0.05,132.5,10.20,-10.12,9.34,65.6,8.25,1.94,1.89,81.8,7.42
510,8.4833,-7.61,7.97,124.1,10.05,-9.80,8.72,74.3,7.96,3.92,-0.06,43.9,7.17
511,8.5000,-7.70,8.01,175.1,10.11,-9.92,8.28,108.7,7.11,-10.05,12.01,39.8,7.09
512,8.5167,-7.56,7.90,141.9,10.11,0.02,0.03,100.1,6.42,0.38,2.31,48.0,7.02
513,8.5333,-7.80,7.96,156.8,10.06,0.02,7.47,45.5,5.63,0.47,2.31,75.2,6.92
514,8.5500,-7.90,7.95,143.9,10.01,0.01,0.01,162.1,5.16,0.45,1.95,82.0,6.94
515,8.5667,-7.93,7.96,169.9,9.99,-0.02,-0.00,135.5,4.69,0.16,1.98,50.8,7.13
516,8.5833,-7.98,7.85,189.7,9.93,0.01,0.01,71.5,4.21,0.04,1.92,140.6,7.25
