frame,t,knob_x,knob_y,knob_method,base_x,base_y,ring_r,base_method,knob_dist,knob_angle_deg,hole_vx,hole_vy,hole_speed,travel_angle_deg
377,6.3204,1047.0,1735.0,H,970.0,1896.0,168.1999969482422,H,178.5,-64.4,5.75,-11.0,12.41,-62.4
378,6.3372,1047.0,1737.0,H,966.0,1892.0,165.0,H,174.9,-62.4,6.16,-11.06,12.66,-60.9
379,6.354,1049.0,1731.0,H,966.0,1892.0,165.0,H,181.1,-62.7,6.21,-10.84,12.49,-60.2
380,6.3708,1047.0,1735.0,H,970.0,1896.0,160.60000610351562,H,178.5,-64.4,6.24,-10.99,12.63,-60.4
381,6.3876,1047.0,1735.0,H,966.0,1892.0,164.39999389648438,H,176.7,-62.7,6.05,-11.47,12.97,-62.2
382,6.4044,1043.0,1735.0,H,974.0,1894.0,164.8000030517578,H,173.3,-66.5,6.52,-11.57,13.28,-60.6
383,6.4212,1033.0,1729.0,H,970.0,1892.0,169.0,H,174.8,-68.9,6.39,-11.13,12.83,-60.2
384,6.4381,1013.0,1721.0,H,972.0,1890.0,168.8000030517578,H,173.9,-76.4,6.32,-10.98,12.67,-60.1
385,6.4549,995.0,1711.0,H,972.0,1886.0,168.60000610351562,H,176.5,-82.5,6.12,-11.13,12.7,-61.2
386,6.4717,981.0,1703.0,H,974.0,1878.0,160.1999969482422,H,175.1,-87.7,5.54,-10.9,12.23,-63.1
387,6.4885,967.0,1691.0,H,970.0,1866.0,164.8000030517578,H,175.0,-91.0,4.9,-11.02,12.06,-66.0
388,6.5053,953.0,1681.0,H,970.0,1854.0,164.8000030517578,H,173.8,-95.6,3.71,-11.18,11.78,-71.6
389,6.5221,941.0,1667.0,H,974.0,1840.0,161.8000030517578,H,176.1,-100.8,2.54,-11.16,11.44,-77.2
390,6.5389,931.0,1657.0,H,974.0,1826.0,162.1999969482422,H,174.4,-104.3,2.13,-11.13,11.33,-79.2
391,6.5557,919.0,1647.0,H,970.0,1812.0,169.0,H,172.7,-107.2,1.3,-11.17,11.25,-83.4
392,6.5725,907.0,1635.0,H,966.0,1800.0,162.1999969482422,H,175.2,-109.7,0.46,-11.15,11.16,-87.6
393,6.5893,899.0,1623.0,H,962.0,1786.0,169.0,H,174.8,-111.1,-0.78,-11.38,11.4,-93.9
394,6.6062,889.0,1615.0,H,962.0,1772.0,165.0,H,173.1,-114.9,-1.54,-11.14,11.24,-97.9
395,6.623,881.0,1605.0,H,954.0,1762.0,168.8000030517578,H,173.1,-114.9,-2.22,-10.97,11.2,-101.4
396,6.6398,873.0,1595.0,H,948.0,1752.0,162.39999389648438,H,174.0,-115.5,-2.67,-11.12,11.44,-103.5
397,6.6566,869.0,1589.0,H,946.0,1744.0,168.8000030517578,H,173.1,-116.4,-3.4,-11.09,11.6,-107.0
398,6.6734,865.0,1583.0,H,942.0,1740.0,167.1999969482422,H,174.9,-116.1,-4.03,-10.75,11.48,-110.5
399,6.6902,863.0,1577.0,H,940.0,1734.0,160.60000610351562,H,174.9,-116.1,-4.51,-10.5,11.43,-113.3
400,6.707,859.0,1575.0,H,944.0,1730.0,164.8000030517578,H,176.8,-118.7,-5.05,-10.74,11.87,-115.2
401,6.7238,859.0,1573.0,H,938.0,1728.0,160.1999969482422,H,174.0,-117.0,-5.36,-10.45,11.74,-117.1
402,6.7406,857.0,1571.0,H,938.0,1726.0,169.1999969482422,H,174.9,-117.6,-5.85,-10.38,11.92,-119.4
403,6.7574,857.0,1569.0,H,938.0,1724.0,160.1999969482422,H,174.9,-117.6,-5.65,-10.24,11.69,-118.9
404,6.7742,857.0,1569.0,H,940.0,1720.0,165.0,H,172.3,-118.8,-6.14,-10.37,12.05,-120.6
405,6.7911,855.0,1569.0,H,932.0,1724.0,165.0,H,173.1,-116.4,-6.19,-10.39,12.09,-120.8
406,6.8079,857.0,1567.0,H,934.0,1726.0,165.0,H,176.7,-115.8,-6.47,-10.59,12.41,-121.4
