frame,t_s,base_x,base_y,r,score,knob_x,knob_y,dist
473,7.8667,926.7,1671.3,165,58.32,960.7,1494.3,180.2
474,7.8833,927.5,1669.8,165,58.75,962.5,1493.8,179.4
475,7.9000,928.0,1669.2,165,58.61,964.0,1493.2,179.6
476,7.9167,928.2,1667.7,165,58.59,966.2,1493.7,178.1
477,7.9333,928.4,1668.1,165,58.55,968.4,1493.1,179.5
478,7.9500,928.7,1667.5,165,57.01,969.7,1492.5,179.7
479,7.9667,929.0,1666.4,165,56.78,972.0,1492.4,179.2
480,7.9833,929.5,1666.3,165,55.08,974.5,1492.3,179.7
481,8.0000,929.3,1665.5,165,54.49,975.3,1491.5,180.0
482,8.0167,929.2,1663.3,165,54.50,977.2,1491.3,178.6
483,8.0333,930.0,1663.8,165,54.19,979.0,1490.8,179.8
484,8.0500,930.5,1662.5,165,53.49,980.5,1490.5,179.1
485,8.0667,929.8,1662.5,165,52.91,982.8,1490.5,180.0
486,8.0833,930.4,1661.9,165,51.58,985.4,1490.9,179.6
487,8.1000,930.3,1661.8,165,50.88,987.3,1490.8,180.2
488,8.1167,930.7,1660.4,165,50.46,991.7,1491.4,179.7
489,8.1333,930.5,1659.5,165,50.42,997.5,1492.5,179.9
490,8.1500,932.1,1657.1,165,49.33,1005.1,1494.1,178.6
491,8.1667,932.5,1655.8,165,48.50,1010.5,1494.8,178.9
492,8.1833,933.5,1654.1,165,47.31,1016.5,1495.1,179.4
493,8.2000,935.4,1651.9,165,46.57,1022.4,1494.9,179.5
494,8.2167,936.5,1649.5,165,45.49,1026.5,1494.5,179.2
495,8.2333,937.4,1646.7,165,45.06,1029.4,1493.7,178.5
496,8.2500,938.5,1645.0,165,44.74,1032.5,1493.0,178.7
497,8.2667,939.7,1643.1,165,44.06,1034.7,1492.1,178.4
498,8.2833,940.9,1641.9,165,42.97,1036.9,1491.9,178.1
499,8.3000,940.7,1641.4,165,42.39,1038.7,1491.4,179.2
500,8.3167,941.6,1640.4,165,42.01,1039.6,1491.4,178.3
501,8.3333,941.9,1638.9,165,41.05,1040.9,1490.9,178.1
502,8.3500,942.6,1638.7,165,40.98,1041.6,1490.7,178.1
503,8.3667,942.9,1638.2,165,40.71,1041.9,1490.2,178.1
504,8.3833,942.8,1638.2,165,40.53,1042.8,1490.2,178.6
505,8.4000,942.7,1638.1,165,40.58,1043.7,1490.1,179.2
506,8.4167,943.6,1636.8,165,39.73,1045.6,1490.8,178.1
507,8.4333,944.0,1636.0,165,39.61,1047.0,1491.0,177.9
508,8.4500,944.9,1635.5,165,39.81,1048.9,1490.5,178.4
509,8.4667,945.1,1635.5,165,39.21,1051.1,1491.5,178.8
510,8.4833,946.1,1633.7,165,38.56,1053.1,1491.7,177.8
511,8.5000,947.6,1633.3,165,38.60,1055.6,1492.3,177.6
512,8.5167,948.7,1630.6,165,38.89,1059.7,1492.6,177.1
513,8.5333,949.7,1629.2,165,38.44,1062.7,1493.2,176.8
514,8.5500,951.2,1627.9,165,38.14,1067.2,1493.9,177.2
515,8.5667,952.6,1626.0,165,38.40,1070.6,1494.0,177.1
516,8.5833,953.9,1624.3,165,38.43,1073.9,1494.3,176.9
517,8.6000,955.3,1622.3,165,38.76,1078.3,1495.3,176.8
518,8.6167,957.2,1619.6,165,40.94,1082.2,1496.6,175.4
519,8.6333,958.0,1619.0,165,42.40,1086.0,1499.0,175.5
520,8.6500,959.2,1617.2,165,43.70,1088.2,1499.2,174.8
521,8.6667,960.1,1617.6,165,44.75,1091.1,1500.6,175.6
522,8.6833,960.8,1616.4,165,44.78,1093.8,1501.4,175.8
523,8.7000,962.2,1615.9,165,44.95,1095.2,1501.9,175.2
524,8.7167,962.0,1615.7,165,44.94,1096.0,1502.7,175.3
525,8.7333,962.1,1615.5,165,46.43,1097.1,1502.5,176.1
526,8.7500,963.0,1615.2,165,47.89,1097.0,1502.2,175.3
527,8.7667,963.0,1614.9,165,49.07,1097.0,1502.9,174.6
528,8.7833,963.5,1615.3,165,49.83,1097.5,1503.3,174.6
529,8.8000,963.7,1615.6,165,49.89,1097.7,1503.6,174.6
530,8.8167,962.6,1615.3,165,49.35,1097.6,1503.3,175.4
