frame,t_s,diameter_px,centre_x,centre_y,run_ctr,span,height,comp_area,seed_ok
703,11.7000,12,171.5,288.5,2,100,78,373,0
704,11.7167,12,171.5,288.5,2,100,78,373,0
705,11.7333,12,171.5,288.5,2,100,78,373,0
706,11.7500,12,171.5,288.5,2,100,78,373,0
707,11.7667,12,171.5,288.5,2,100,78,373,0
708,11.7833,12,171.5,288.5,2,100,78,373,0
709,11.8000,12,171.5,288.5,2,100,78,373,0
710,11.8167,12,171.5,288.5,2,100,78,373,0
711,11.8333,12,171.5,288.5,2,100,78,373,0
712,11.8500,12,171.5,288.5,2,100,78,373,0
713,11.8667,12,171.5,288.5,2,100,78,373,0
714,11.8833,12,171.5,288.5,2,100,78,373,0
715,11.9000,12,171.5,288.5,2,100,78,373,0
716,11.9167,12,171.5,288.5,2,100,78,373,0
717,11.9333,12,171.5,288.5,2,100,78,373,0
718,11.9500,12,171.5,288.5,2,100,78,373,0
719,11.9667,12,171.5,288.5,2,100,78,373,0
720,11.9833,12,171.5,288.5,2,100,78,373,0
721,12.0000,12,171.5,288.5,2,100,78,373,0
722,12.0167,12,171.5,288.5,2,100,78,373,0
723,12.0333,12,171.5,288.5,2,100,78,373,0
724,12.0500,12,171.5,288.5,2,100,78,373,0
725,12.0667,12,171.5,288.5,2,100,78,373,0
726,12.0833,12,171.5,288.5,2,100,78,373,0
727,12.1000,12,171.5,288.5,2,100,78,373,0
728,12.1167,12,171.5,288.5,2,100,78,373,0
729,12.1333,12,171.5,288.5,2,100,78,373,0
730,12.1500,12,171.5,288.5,2,102,78,391,0
731,12.1667,12,171.5,288.5,2,102,78,391,0
732,12.1833,12,171.5,288.5,2,102,78,391,0
733,12.2000,12,171.5,288.5,2,102,78,391,0
734,12.2167,12,171.5,288.5,2,102,78,391,0
735,12.2333,12,171.5,288.5,2,102,78,391,0
736,12.2500,12,171.5,288.5,2,102,78,391,0
737,12.2667,12,171.5,288.5,2,102,78,391,0
738,12.2833,12,171.5,288.5,2,102,78,391,0
739,12.3000,12,171.5,288.5,2,102,78,391,0
740,12.3167,12,171.5,288.5,2,102,78,391,0
741,12.3333,12,171.5,288.5,2,102,78,391,0
742,12.3500,12,171.5,288.5,2,102,78,391,0
743,12.3667,12,171.5,288.5,2,102,78,391,0
744,12.3833,12,171.5,288.5,2,102,78,391,0
745,12.4000,12,171.5,288.5,2,102,78,391,0
746,12.4167,12,171.5,288.5,2,102,78,391,0
747,12.4333,12,171.5,288.5,2,102,78,391,0
748,12.4500,12,171.5,288.5,2,102,78,391,0
749,12.4667,12,171.5,288.5,2,102,78,391,0
