frame,blob_id,cx,cy,w,h,area
808,1,1216.6,990.9,108,136,3648
809,0,1224.7,860.1,80,84,2912
809,1,1204.2,1002.7,108,136,3696
810,0,1211.9,872.1,80,84,2848
810,1,1191.4,1014.6,108,136,3632
811,0,1199.6,883.8,80,84,2848
811,1,1180.5,1023.7,108,132,3536
812,0,1187.7,895.3,80,84,2784
812,1,1169.4,1034.7,108,136,3568
813,0,1176.3,906.4,80,80,2720
813,1,1158.2,1044.3,104,132,3584
814,0,1165.2,916.9,76,88,2704
814,1,1147.5,1055.7,100,132,3568
815,0,1154.2,928.0,76,84,2720
815,1,1136.4,1064.3,104,132,3680
816,0,1295.2,943.9,80,120,2608
816,1,1143.4,937.3,76,88,2720
816,2,1126.8,1073.9,100,132,3616
817,0,1288.5,946.6,92,124,3056
817,1,1133.3,948.2,76,84,2704
817,2,1117.4,1083.3,104,132,3584
818,0,1298.4,820.5,56,76,2096
818,1,1279.0,955.7,100,132,3152
818,2,1123.1,957.6,76,88,2784
818,3,1107.5,1092.2,104,132,3552
819,0,1292.1,830.4,64,80,2416
819,1,1269.5,965.3,100,128,3088
819,2,1112.7,967.1,80,84,2704
819,3,1098.0,1101.2,104,128,3520
820,0,1283.4,840.3,76,80,2416
820,1,1261.0,972.7,100,128,3152
820,2,1102.6,976.4,76,84,2768
820,3,1088.4,1109.9,100,132,3776
821,0,1273.8,848.8,76,80,2464
821,1,1251.5,980.9,104,128,3200
821,2,1093.1,986.0,76,88,2720
821,3,1080.2,1119.5,100,132,3520
822,0,1264.4,856.8,72,76,2384
822,1,1243.1,989.9,100,128,3072
822,2,1083.1,995.1,76,84,2784
822,3,1070.4,1129.1,104,132,3536
823,0,1255.5,865.2,76,80,2480
823,1,1234.4,997.4,100,128,3088
823,2,1073.5,1004.2,76,84,2800
823,3,1061.3,1137.5,100,128,3488
824,0,1246.3,873.8,76,80,2400
824,1,1226.5,1004.1,100,128,3168
824,2,1063.6,1013.3,80,84,2768
824,3,1053.0,1144.8,100,128,3440
825,0,1237.6,882.5,76,80,2512
825,1,1217.9,1013.2,100,128,3104
825,2,1054.6,1022.6,76,88,2880
825,3,1043.3,1153.7,104,128,3552
826,0,1228.6,890.8,72,80,2496
826,1,1209.9,1020.4,100,128,3232
826,2,1045.7,1031.6,76,84,2752
826,3,1033.9,1163.9,100,128,3648
827,0,1220.5,899.2,72,80,2464
827,1,1201.5,1029.0,100,128,3232
827,2,1036.2,1040.0,80,84,2752
827,3,1026.1,1172.1,100,128,3600
828,0,1212.1,907.3,72,80,2496
828,1,1193.0,1038.0,100,128,3200
828,2,1026.9,1048.5,76,84,2880
828,3,1017.2,1179.3,96,128,3696
829,0,1203.2,915.2,76,84,2560
829,1,1184.9,1046.3,100,128,3168
829,2,1017.8,1058.0,76,88,2960
829,3,1009.9,1187.6,92,128,3584
830,0,1194.7,923.8,76,84,2576
830,1,1176.8,1054.2,100,128,3200
830,2,1008.0,1066.8,80,88,2896
830,3,1003.6,1195.0,88,128,3296
831,0,1186.2,931.5,76,84,2608
831,1,1168.5,1062.5,104,128,3200
831,2,998.8,1074.4,76,80,2752
831,3,994.6,1203.2,100,128,3328
832,0,1177.9,939.1,76,84,2592
832,1,1160.3,1071.0,100,124,3184
832,2,989.8,1083.7,76,84,2864
832,3,983.2,1212.8,96,128,3536
833,0,1169.2,947.4,76,84,2624
833,1,1152.4,1078.1,100,124,3232
833,2,981.1,1092.4,76,84,2864
833,3,972.9,1222.4,100,128,3712
834,0,1161.0,955.4,76,84,2640
834,1,1144.6,1086.0,100,124,3184
834,2,971.4,1100.7,76,84,2960
834,3,965.1,1230.6,100,128,3712
835,0,1295.9,969.5,72,116,2080
835,1,1152.5,963.6,76,84,2672
835,2,1136.2,1093.6,100,128,3296
835,3,962.6,1109.9,76,88,3024
835,4,961.2,1234.3,88,128,3392
836,0,1293.4,970.3,80,120,2816
836,1,1144.3,970.6,72,80,2608
836,2,1128.3,1100.2,100,128,3392
836,3,952.9,1117.9,80,88,3104
836,4,956.4,1238.9,68,128,2912
837,0,1287.9,972.9,88,124,2928
837,1,1135.6,978.2,76,80,2592
837,2,1119.6,1108.4,100,128,3408
837,3,943.1,1125.8,80,88,2976
837,4,949.3,1241.9,48,124,2480
838,0,1299.6,849.2,52,80,1936
838,1,1280.8,979.5,96,124,2944
838,2,1127.0,985.9,76,80,2608
838,3,1111.6,1116.2,100,128,3456
838,4,934.0,1134.9,76,88,3024
838,5,941.5,1244.9,48,116,2208
839,0,1295.1,857.1,60,80,2256
839,1,1274.4,986.4,96,124,2912
839,2,1118.1,994.1,76,80,2656
839,3,1103.0,1124.6,100,128,3504
839,4,924.3,1143.4,80,88,3104
839,5,931.4,1246.3,52,108,1920
840,0,1287.9,864.5,68,76,2336
840,1,1266.0,993.4,100,124,3056
840,2,1109.3,1002.0,76,80,2688
840,3,1094.9,1132.0,100,128,3520
840,4,914.7,1152.4,80,88,3104
841,0,1279.9,871.9,72,76,2320
841,1,1258.5,1000.6,96,128,3056
841,2,1100.7,1010.1,72,80,2640
841,3,1086.7,1139.8,96,128,3376
841,4,904.9,1160.5,80,84,3136
841,5,894.4,1281.7,96,128,2544
842,0,1271.9,878.1,72,80,2352
842,1,1250.6,1006.9,100,124,3008
842,2,1091.4,1017.7,76,80,2656
842,3,1078.2,1146.8,96,124,3376
842,4,890.2,1232.5,104,220,6176
843,0,1263.5,885.1,72,80,2352
