frame,t_s,dxA,dyA,peakA,dxB,dyB,peakB
522,8.6833,-0.07,-0.01,107.3,-14.43,13.13,100.0
523,8.7000,-0.08,-0.03,112.2,-14.27,12.75,101.3
524,8.7167,-10.00,6.84,124.9,-14.59,12.29,104.3
525,8.7333,-10.00,6.38,150.6,-15.63,12.47,110.6
526,8.7500,-10.03,6.22,173.7,-15.12,12.06,113.0
527,8.7667,-10.41,6.35,97.4,-15.83,12.38,119.2
528,8.7833,-10.11,5.96,146.6,-15.68,12.10,121.3
529,8.8000,-10.57,6.19,100.5,-15.97,12.11,111.9
530,8.8167,-10.47,6.11,114.1,-15.88,12.00,83.9
531,8.8333,-10.76,6.11,105.9,-0.05,-2.05,65.8
532,8.8500,-10.57,6.12,111.1,-0.06,-2.04,63.9
533,8.8667,-10.99,5.94,82.5,-13.95,10.17,46.9
534,8.8833,-10.64,5.94,109.8,-13.83,9.74,83.4
535,8.9000,-10.64,5.92,101.3,-15.66,8.18,75.8
536,8.9167,-10.66,5.92,94.1,-14.65,9.71,77.1
537,8.9333,-10.62,5.85,100.9,-14.46,9.76,98.6
538,8.9500,-10.63,5.90,97.2,-14.43,9.91,116.9
539,8.9667,-10.45,5.89,117.5,-14.64,9.80,108.4
540,8.9833,-10.36,5.89,126.3,-15.13,10.13,108.5
541,9.0000,-10.45,5.81,114.9,-15.40,10.15,128.8
542,9.0167,-10.29,5.89,133.9,-15.27,10.14,121.1
543,9.0333,-10.31,5.87,140.6,-15.58,10.10,143.6
544,9.0500,-10.28,5.83,142.8,-15.62,10.11,149.8
545,9.0667,-10.32,5.82,148.2,-15.67,10.10,162.0
546,9.0833,-10.40,5.85,142.7,-15.74,10.12,168.8
547,9.1000,-10.37,5.81,142.0,-15.75,10.15,165.8
548,9.1167,-10.43,5.85,133.6,-15.78,10.14,162.6
549,9.1333,-10.67,5.86,128.6,-15.95,10.20,159.2
550,9.1500,-10.56,5.92,141.7,-15.87,10.13,151.7
551,9.1667,-10.58,5.83,141.9,-15.76,10.19,131.0
552,9.1833,-10.52,5.91,155.9,-15.75,10.19,120.6
553,9.2000,-10.53,5.92,166.3,-15.66,10.19,108.5
554,9.2167,-10.53,5.97,167.0,-15.50,10.27,112.0
555,9.2333,-10.55,5.96,150.2,-14.92,10.06,86.9
556,9.2500,-10.40,6.03,167.5,-15.91,11.31,91.8
557,9.2667,-10.18,6.01,188.4,-16.00,11.42,66.6
558,9.2833,-10.62,6.18,133.8,-16.14,11.66,61.5
559,9.3000,-10.14,6.01,169.8,-14.43,10.07,46.9
560,9.3167,-10.20,6.15,153.0,-13.92,10.31,66.0
561,9.3333,-10.28,6.18,142.9,-14.05,10.26,84.2
